,month,demand,max_peak_battery,charge,discharge,max_peak_baseline,operating_cost_battery,operating_cost_baseline,cost_saved,P,battery
0,1.0,2223794.88,1880.12,5557.223650543465,2723.0395887662744,1905.12,357785.33912803105,358325.3952,540.056071968982,50,thermal
0,2.0,1967519.52,1691.48,4550.3132832080155,2229.6535087719258,1716.48,317547.6065706767,318154.4208,606.8142293232959,50,thermal
0,3.0,2110929.1199999996,1723.1599999999999,6131.529515098078,3004.4494623980554,1748.1599999999999,337446.94040685095,337948.9199999999,501.9795931489789,50,thermal
0,4.0,1922447.5199999998,1691.48,5563.183673469397,2725.9600000000046,1716.48,311755.399877551,312295.0608,539.6609224489657,50,thermal
0,5.0,2198760.48,2031.3200000000002,4568.400408163259,2238.516199999997,2056.32,359959.9161470613,360565.53119999997,605.6150529386941,50,thermal
0,6.0,2323578.2399999998,2199.8,3868.324844803232,1895.4791739535751,2224.8,497003.94113721047,498959.9712,1956.030062789563,50,thermal
0,7.0,2866353.12,2342.3599999999997,4228.266530612235,2071.850599999995,2367.3599999999997,580205.0996709795,582137.2655999999,1932.1659290203825,50,thermal
0,8.0,3014354.88,2372.6000000000004,4759.020408163278,2331.920000000006,2397.5999999999985,602156.7574530613,604053.7343999998,1896.97694693855,50,thermal
0,9.0,2685854.8800000004,2402.84,3940.171823568123,1930.684193548381,2427.84,562073.7077919026,564024.9744000001,1951.266608097474,50,thermal
0,10.0,2378587.68,2291.96,4045.8163265306234,1982.4500000000053,2316.9599999999973,392774.462422449,393414.7247999999,640.2623775508837,50,thermal
0,11.0,2023241.7600000002,2012.6,5405.988558095528,2648.9343934668073,2037.5999999999976,336517.72984140174,337067.81279999996,550.0829585982137,50,thermal
0,12.0,2083982.4000000001,1717.4,5206.7755102040755,2551.319999999997,1742.4,333673.2372163265,334236.528,563.2907836734666,50,thermal
0,1.0,2223794.88,1855.12,17714.226834939276,8679.971149120187,1905.12,357682.84843915654,358325.3952,642.5467608434847,100,thermal
0,2.0,1967519.52,1666.48,14088.928858500183,6903.575140665006,1716.48,317271.5167833186,318154.4208,882.904016681423,100,thermal
0,3.0,2110929.1199999996,1698.1599999999999,20827.96051436977,10205.700652041072,1748.1599999999999,337512.8137821027,337948.9199999999,436.1062178972061,100,thermal
0,4.0,1922447.5199999998,1666.48,18339.578254972937,8986.393344936667,1716.48,311693.9748383047,312295.0608,601.0859616952948,100,thermal
0,5.0,2198760.48,2006.3200000000002,14699.607845336985,7202.807844215083,2056.32,359723.11520014587,360565.53119999997,842.4159998540999,100,thermal
0,6.0,2323578.2399999998,2174.8,12997.96831776419,6369.004475704444,2224.8,495396.73649946775,498959.9712,3563.234700532281,100,thermal
0,7.0,2866353.12,2317.3599999999997,15170.684897959176,7433.635599999997,2367.3599999999997,578718.0820087347,582137.2655999999,3419.1835912652314,100,thermal
0,8.0,3014354.88,2347.6000000000004,17150.66378672179,8403.825255493652,2397.5999999999985,600765.8234090598,604053.7343999998,3287.9109909400577,100,thermal
0,9.0,2685854.8800000004,2377.84,13297.154236466056,6515.605575868371,2427.84,560481.5757258778,564024.9744000001,3543.3986741222907,100,thermal
0,10.0,2378587.68,2266.96,13370.811889998116,6551.697826099052,2316.9599999999973,392484.2096283069,393414.7247999999,930.5151716929977,100,thermal
0,11.0,2023241.7600000002,1987.6,16698.761420604376,8182.393096096104,2037.5999999999976,336357.9406821861,337067.81279999996,709.8721178138512,100,thermal
0,12.0,2083982.4000000001,1694.2372589448155,17020.781604041957,8340.182985980466,1742.4,333614.7718104026,334236.528,621.7561895973631,100,thermal
0,1.0,2223794.88,1880.12,3001.157318771671,2708.5444801914355,1905.12,357454.9348690155,358325.3952,870.4603309845552,50,li-ion
0,2.0,1967519.52,1691.48,2443.457162740156,2205.220089372988,1716.48,317276.8916195377,318154.4208,877.5291804622975,50,li-ion
0,3.0,2110929.1199999996,1723.1599999999999,3244.3995037642558,2928.070552147243,1748.1599999999999,337081.54276371014,337948.9199999999,867.3772362897871,50,li-ion
0,4.0,1922447.5199999998,1691.48,3001.2950984163876,2708.6688263207866,1716.48,311424.60221537243,312295.0608,870.458584627544,50,li-ion
0,5.0,2198760.48,2031.3200000000002,2469.8320766953816,2229.0234492175828,2056.32,359688.3363215722,360565.53119999997,877.1948784277774,50,li-ion
0,6.0,2323578.2399999998,2199.8,2217.7257665447432,2001.4975043066308,2224.8,496775.580874091,498959.9712,2184.390325909015,50,li-ion
0,7.0,2866353.12,2342.3599999999997,2302.0083066092457,2077.562496714844,2367.3599999999997,579953.9435552863,582137.2655999999,2183.3220447136555,50,li-ion
0,8.0,3014354.88,2372.6000000000004,2583.8448753462667,2331.920000000006,2397.5999999999985,601873.9846337951,604053.7343999998,2179.749766204739,50,li-ion
0,9.0,2685854.8800000004,2402.84,2168.656359472737,1957.212364424146,2427.84,561839.9621193565,564024.9744000001,2185.0122806435684,50,li-ion
0,10.0,2378587.68,2291.96,2189.2326869806143,1975.7825000000028,2316.9599999999973,392533.97332430753,393414.7247999999,880.7514756923774,50,li-ion
0,11.0,2023241.7600000002,2012.6,2925.39570215961,2640.16962119904,2037.5999999999976,336196.3921905249,337067.81279999996,871.4206094750552,50,li-ion
0,12.0,2083982.4000000001,1717.4,2826.9473684210493,2551.319999999997,1742.4,333363.85955789476,334236.528,872.6684421052341,50,li-ion
0,1.0,2223794.88,1855.12,9633.05677507223,8693.833739502677,1905.12,356630.494194624,358325.3952,1694.901005376014,100,li-ion
0,2.0,1967519.52,1666.48,7842.9952135718495,7078.303180248585,1716.48,316436.83076433203,318154.4208,1717.5900356679922,100,li-ion
0,3.0,2110929.1199999996,1698.1599999999999,10844.060533667001,9786.764631634476,1748.1599999999999,336269.36846726417,337948.9199999999,1679.551532735757,100,li-ion
0,4.0,1922447.5199999998,1666.48,9804.227527915533,8848.315343943743,1716.48,310602.32938391634,312295.0608,1692.7314160836395,100,li-ion
0,5.0,2198760.48,2006.3200000000002,7878.871612304105,7110.681630104442,2056.32,358848.395897686,360565.53119999997,1717.1353023139527,100,li-ion
0,6.0,2323578.2399999998,2174.8,7154.033809295509,6456.515512889138,2224.8,494625.64857853274,498959.9712,4334.32262146729,100,li-ion
0,7.0,2866353.12,2317.3599999999997,8235.829152826553,7432.835810425956,2367.3599999999997,577816.6547345121,582137.2655999999,4320.6108654878335,100,li-ion
0,8.0,3014354.88,2347.6000000000004,8975.524714870033,8100.411055170203,2397.5999999999985,599742.499175761,604053.7343999998,4311.23522423883,100,li-ion
0,9.0,2685854.8800000004,2377.84,7110.17334649372,6416.931445210586,2427.84,559690.0958471668,564024.9744000001,4334.878552833223,100,li-ion
0,10.0,2378587.68,2266.96,7128.263875700469,6433.2581478196535,2316.9599999999973,391688.0755446246,393414.7247999999,1726.6492553753196,100,li-ion
0,11.0,2023241.7600000002,1987.6,8908.806133256327,8040.197535263792,2037.5999999999976,335363.7319177391,337067.81279999996,1704.080882260867,100,li-ion
0,12.0,2083982.4000000001,1696.9066666666663,9437.4022379136,8517.255519717059,1742.4,332702.91934003227,334236.528,1533.608659967722,100,li-ion
