,month,No Battery,actual,forecasted,forecasted_savings,actual_savings
0,1,340186.7807999999,340245.8356949569,299084.71593960654,41102.06486039335,-59.05489495699294
1,2,310981.16159999993,310983.5301038975,276767.2840300626,34213.87756993732,-2.3685038975672796
2,3,347562.3599999992,347883.17299814144,318995.61494373536,28566.74505626381,-320.81299814226804
3,4,353841.9120000008,354011.8678746486,305223.6416741788,48618.270325822,-169.95587464777054
4,5,382922.0783999996,383266.90465014137,316080.60681152635,66841.47158847324,-344.82625014177756
5,6,545382.6480000003,545889.5531674689,431800.636603853,113582.01139614725,-506.90516746859066
6,7,632167.3872000003,630311.5400395944,472986.873119791,159180.51408020937,1855.847160405945
7,8,596644.9487999999,601020.5730339126,566343.9359034781,30301.012896521832,-4375.624233912677
8,9,528734.0735999998,534548.6709304809,431446.0871898623,97287.9864101375,-5814.597330481163
9,10,395899.97759999963,396879.0352855731,355455.99472754996,40443.98287244968,-979.0576855734689
10,11,369615.6864000003,370093.5967768201,367818.6218012885,1797.0645987117896,-477.91037681978196
11,12,407546.51040000026,407859.55275657243,358720.786445035,48825.723954965244,-313.04235657217214
