,month,demand,max_peak_battery,charge,discharge,max_peak_baseline,operating_cost_battery,operating_cost_baseline,cost_saved,battery_cost
0,1.0,2097953.2800000003,1706.1599983500125,35461.488282552964,31997.781291832776,1856.1599999999971,335186.06264883315,340186.78079999995,5000.718151166802,330000
0,2.0,1914353.28,1583.6683488423919,32843.49220606449,29625.722590685888,1709.2799999999972,306834.74424693175,310981.16159999993,4146.417353068187,330000
0,3.0,2160324.0,1690.7759999682185,35396.008838807655,31941.30614153362,1835.9999999999973,342734.0311894907,347562.35999999987,4828.328810509178,330000
0,4.0,2160324.0,1858.7999976240203,34175.27488155017,30842.21000317204,2008.7999999999972,348824.2103478461,353841.9119999999,5017.701652153803,330000
0,5.0,2355035.04,1992.684583854623,33022.13345523613,29800.50530257729,2112.479999999997,378987.52463712264,382922.0783999999,3934.5537628772436,330000
0,6.0,2571861.6,2234.6399994470803,32607.542068644132,29424.533979374533,2384.639999999997,532521.4390026716,545382.6479999998,12861.208997328184,330000
0,7.0,3025729.44,2553.032726548715,36007.117296278484,32495.13387086663,2698.56,619744.7813448649,632167.3872,12422.60585513513,330000
0,8.0,2822081.7600000002,2446.319998596542,33814.573598467,30516.19371722066,2596.3199999999983,583798.738060356,596644.9487999999,12846.210739643895,330000
0,9.0,2504574.7199999997,2145.359992004533,31236.882943635905,28164.64741917029,2295.359999999998,515858.46351058164,528734.0735999998,12875.610089418129,330000
0,10.0,2382811.2,2244.269999516943,34743.47909587633,31347.851961539647,2370.24,391763.6593099095,395899.9776000001,4136.318290090596,330000
0,11.0,2296152.0,1815.8599991629796,29887.127997097774,26971.838706298557,1956.9599999999978,364867.09997738653,369615.68639999995,4748.5864226134145,330000
0,12.0,2536403.04,1991.2799863963846,32634.02096416575,29451.050122269982,2141.279999999998,402509.29611509107,407546.51039999997,5037.2142849089,330000
