,month,demand,max_peak_battery,charge,discharge,max_peak_baseline,operating_cost_battery,operating_cost_baseline,cost_saved,battery_cost
0,1.0,2097953.2800000003,1741.1599981721727,19919.203774632497,40424.5459483991,1856.1599999999971,333341.98625098716,340186.78079999995,6844.7945490127895,253000
0,2.0,1914353.28,1594.2799998620874,15810.989825978693,36363.03562257968,1709.2799999999972,304130.29564143013,310981.16159999993,6850.865958569804,253000
0,3.0,2160324.0,1720.9999975096944,17085.445397584346,40052.93546839228,1835.9999999999973,340397.48620029725,347562.35999999987,7164.873799702618,253000
0,4.0,2160324.0,1893.7999966039752,14196.726366624793,37618.41286330221,2008.7999999999972,346617.9926320204,353841.9119999999,7223.9193679795135,253000
0,5.0,2355035.04,1997.479999655126,11677.68994282205,37405.87493318988,2112.479999999997,375398.3143387195,382922.0783999999,7523.76406128041,253000
0,6.0,2571861.6,2269.6399996371656,13144.229417595234,37100.22362349624,2384.639999999997,532090.868721122,545382.6479999998,13291.779278877773,253000
0,7.0,3025729.44,2583.559999644077,9468.4397198889,36328.55382845274,2698.56,618498.0723343876,632167.3872,13669.314865612425,253000
0,8.0,2822081.7600000002,2481.3199985712936,5908.679308256765,34574.09109812023,2596.3199999999983,582740.9451408773,596644.9487999999,13904.003659122624,253000
0,9.0,2504574.7199999997,2180.3599942346896,9311.176738929864,35222.168060589785,2295.359999999998,515188.14421795425,528734.0735999998,13545.92938204552,253000
0,10.0,2382811.2,2255.239998714542,14045.061576950238,38560.62749310374,2370.24,388533.85398418654,395899.9776000001,7366.123615813558,253000
0,11.0,2296152.0,1841.9599998636759,8173.900222707918,34682.74699328666,1956.9599999999978,361990.4363148708,369615.68639999995,7625.25008512917,253000
0,12.0,2536403.04,2026.2799993383674,10633.207499206366,36902.154341707064,2141.279999999998,399952.4472864312,407546.51039999997,7594.063113568758,253000
