,month,demand,max_peak_battery,charge,discharge,max_peak_baseline,operating_cost_battery,operating_cost_baseline,cost_saved,battery_cost
0,1.0,2097953.2800000003,1671.159999454087,27538.520455396214,62879.758553823216,1856.1599999999971,328869.51982736605,340186.78079999995,11317.2609726339,407000
0,2.0,1914353.28,1524.2799979028878,27154.435997979486,59348.2515594107,1709.2799999999972,300073.06550080486,310981.16159999993,10908.09609919507,407000
0,3.0,2160324.0,1650.9999987128488,29894.133814089222,65636.30518803626,1835.9999999999973,336192.97767461184,347562.35999999987,11369.382325388025,407000
0,4.0,2160324.0,1823.799999661446,30389.41985833681,64184.17524423618,2008.7999999999972,342725.69378753006,353841.9119999999,11116.21821246983,407000
0,5.0,2355035.04,1927.4799995748617,32088.005182289708,66611.31723703729,2112.479999999997,371711.1478174333,382922.0783999999,11210.930582566594,407000
0,6.0,2571861.6,2199.6399975384234,28843.852425608566,63405.663402492224,2384.639999999997,524517.1123551556,545382.6479999998,20865.535644844174,407000
0,7.0,3025729.44,2513.5599984047776,28049.831308519708,64638.94440370968,2698.56,611038.3023564481,632167.3872,21129.084843551856,407000
0,8.0,2822081.7600000002,2411.3199998271157,24615.065663999456,62947.88032394787,2596.3199999999983,575289.1828789065,596644.9487999999,21355.765921093407,407000
0,9.0,2504574.7199999997,2110.3599990285347,29663.958481744787,63806.03152618707,2295.359999999998,507923.1040182478,528734.0735999998,20810.969581751968,407000
0,10.0,2382811.2,2185.239997344934,31294.598610146048,66287.97739075487,2370.24,384627.9382620358,395899.9776000001,11272.039337964321,407000
0,11.0,2296152.0,1771.959999616626,18158.76143217625,58189.190351777834,1956.9599999999978,357688.83062652004,369615.68639999995,11926.85577347991,407000
0,12.0,2536403.04,1956.2799997450861,23438.608774639997,62477.75224375122,2141.279999999998,395748.52173975203,407546.51039999997,11797.988660247938,407000
