Date,TotalDemand [kWh],Period01 [kWh],Period02 [kWh],Period03 [kWh],Period04 [kWh],Period05 [kWh],Period06 [kWh],Period07 [kWh],Period08 [kWh],Period09 [kWh],Period10 [kWh],Period11 [kWh],Period12 [kWh],Period13 [kWh],Period14 [kWh],Period15 [kWh],Period16 [kWh],Period17 [kWh],Period18 [kWh],Period19 [kWh],Period20 [kWh],Period21 [kWh],Period22 [kWh],Period23 [kWh],Period24 [kWh],Period25 [kWh],Period26 [kWh],Period27 [kWh],Period28 [kWh],Period29 [kWh],Period30 [kWh],Period31 [kWh],Period32 [kWh],Period33 [kWh],Period34 [kWh],Period35 [kWh],Period36 [kWh],Period37 [kWh],Period38 [kWh],Period39 [kWh],Period40 [kWh],Period41 [kWh],Period42 [kWh],Period43 [kWh],Period44 [kWh],Period45 [kWh],Period46 [kWh],Period47 [kWh],Period48 [kWh],Period49 [kWh],Period50 [kWh],Period51 [kWh],Period52 [kWh],Period53 [kWh],Period54 [kWh],Period55 [kWh],Period56 [kWh],Period57 [kWh],Period58 [kWh],Period59 [kWh],Period60 [kWh],Period61 [kWh],Period62 [kWh],Period63 [kWh],Period64 [kWh],Period65 [kWh],Period66 [kWh],Period67 [kWh],Period68 [kWh],Period69 [kWh],Period70 [kWh],Period71 [kWh],Period72 [kWh],Period73 [kWh],Period74 [kWh],Period75 [kWh],Period76 [kWh],Period77 [kWh],Period78 [kWh],Period79 [kWh],Period80 [kWh],Period81 [kWh],Period82 [kWh],Period83 [kWh],Period84 [kWh],Period85 [kWh],Period86 [kWh],Period87 [kWh],Period88 [kWh],Period89 [kWh],Period90 [kWh],Period91 [kWh],Period92 [kWh],Period93 [kWh],Period94 [kWh],Period95 [kWh],Period96 [kWh]
01-Jan-2018,72686.88,734.4,731.52,727.2,735.84,730.08,728.64,731.52,730.08,730.08,732.96,724.32,732.96,731.52,730.08,734.4,734.4,731.52,734.4,730.08,732.96,743.04,735.84,735.84,745.92,738.72,747.36,750.24,747.36,767.52,771.84,763.2,771.84,768.96,768.96,770.4,770.4,770.4,773.28,768.96,784.8,787.68,787.68,790.56,793.44,787.68,794.88,794.88,787.68,792,789.12,781.92,794.88,789.12,784.8,793.44,784.8,784.8,780.48,779.04,774.72,773.28,777.6,777.6,771.84,771.84,774.72,781.92,781.92,774.72,768.96,771.84,770.4,773.28,768.96,779.04,773.28,758.88,747.36,745.92,734.4,740.16,732.96,735.84,734.4,730.08,730.08,740.16,741.6,734.4,735.84,735.84,730.08,725.76,731.52,728.64,724.32
02-Jan-2018,73594.08,728.64,727.2,728.64,727.2,732.96,734.4,734.4,737.28,738.72,734.4,731.52,727.2,722.88,721.44,731.52,731.52,727.2,722.88,725.76,724.32,730.08,734.4,728.64,743.04,768.96,771.84,768.96,773.28,776.16,783.36,781.92,783.36,783.36,777.6,780.48,783.36,784.8,787.68,793.44,794.88,794.88,793.44,790.56,793.44,799.2,794.88,796.32,792,792,796.32,796.32,793.44,789.12,789.12,787.68,793.44,793.44,792,794.88,790.56,799.2,792,796.32,797.76,799.2,800.64,799.2,797.76,799.2,802.08,799.2,797.76,802.08,794.88,792,789.12,764.64,757.44,758.88,756,753.12,745.92,750.24,748.8,745.92,743.04,743.04,741.6,741.6,738.72,750.24,743.04,750.24,738.72,738.72,743.04
03-Jan-2018,73440,745.92,743.04,745.92,744.48,741.6,734.4,735.84,734.4,738.72,737.28,732.96,735.84,735.84,731.52,732.96,728.64,730.08,731.52,731.52,727.2,737.28,741.6,743.04,741.6,751.68,753.12,747.36,748.8,761.76,771.84,774.72,783.36,780.48,784.8,790.56,794.88,799.2,797.76,783.36,787.68,786.24,786.24,790.56,794.88,792,789.12,800.64,819.36,812.16,816.48,815.04,807.84,802.08,804.96,806.4,807.84,806.4,806.4,804.96,807.84,796.32,802.08,803.52,796.32,792,796.32,797.76,793.44,796.32,792,797.76,787.68,781.92,777.6,786.24,774.72,751.68,741.6,743.04,740.16,738.72,730.08,728.64,732.96,728.64,724.32,734.4,732.96,721.44,714.24,721.44,725.76,727.2,724.32,731.52,722.88
04-Jan-2018,73967.04,718.56,718.56,724.32,727.2,720,724.32,725.76,720,715.68,712.8,714.24,712.8,714.24,718.56,721.44,709.92,708.48,704.16,709.92,717.12,720,720,721.44,721.44,730.08,731.52,738.72,743.04,758.88,774.72,780.48,787.68,799.2,802.08,793.44,800.64,809.28,815.04,820.8,822.24,817.92,816.48,820.8,819.36,816.48,822.24,822.24,830.88,828,823.68,817.92,815.04,816.48,817.92,816.48,813.6,816.48,817.92,820.8,813.6,810.72,815.04,807.84,806.4,804.96,803.52,803.52,809.28,809.28,812.16,804.96,804.96,803.52,803.52,804.96,794.88,766.08,764.64,763.2,756,754.56,751.68,753.12,747.36,743.04,751.68,747.36,744.48,735.84,734.4,741.6,743.04,738.72,741.6,740.16,735.84
05-Jan-2018,74625.12,745.92,743.04,744.48,741.6,737.28,743.04,747.36,748.8,740.16,737.28,735.84,735.84,728.64,730.08,731.52,731.52,722.88,732.96,734.4,738.72,751.68,754.56,750.24,754.56,753.12,754.56,763.2,761.76,774.72,781.92,774.72,776.16,774.72,768.96,776.16,781.92,793.44,804.96,813.6,820.8,826.56,823.68,829.44,830.88,835.2,836.64,835.2,833.76,836.64,836.64,835.2,833.76,833.76,836.64,780.48,753.12,724.32,698.4,691.2,685.44,756,817.92,820.8,822.24,825.12,828,832.32,829.44,830.88,832.32,825.12,820.8,815.04,810.72,812.16,804.96,789.12,771.84,774.72,777.6,774.72,777.6,770.4,766.08,764.64,768.96,767.52,768.96,760.32,758.88,756,756,753.12,754.56,750.24,745.92
06-Jan-2018,74571.84,753.12,758.88,758.88,763.2,761.76,764.64,757.44,758.88,760.32,758.88,758.88,753.12,750.24,741.6,743.04,750.24,748.8,750.24,748.8,750.24,763.2,764.64,763.2,764.64,770.4,776.16,773.28,777.6,784.8,789.12,783.36,786.24,777.6,779.04,779.04,779.04,773.28,766.08,763.2,768.96,773.28,786.24,787.68,790.56,787.68,789.12,787.68,790.56,792,792,794.88,790.56,799.2,792,796.32,793.44,789.12,797.76,797.76,792,799.2,794.88,806.4,796.32,793.44,797.76,802.08,802.08,804.96,806.4,802.08,806.4,800.64,803.52,800.64,797.76,776.16,767.52,773.28,768.96,774.72,779.04,779.04,770.4,767.52,763.2,766.08,763.2,764.64,767.52,770.4,770.4,763.2,758.88,760.32,758.88
07-Jan-2018,74848.32,760.32,760.32,768.96,767.52,766.08,753.12,751.68,760.32,764.64,763.2,766.08,760.32,761.76,764.64,760.32,758.88,758.88,757.44,760.32,758.88,771.84,776.16,771.84,766.08,777.6,786.24,780.48,783.36,789.12,796.32,800.64,800.64,799.2,790.56,790.56,792,786.24,789.12,790.56,793.44,790.56,793.44,789.12,792,787.68,783.36,783.36,786.24,790.56,792,790.56,789.12,790.56,793.44,789.12,796.32,796.32,803.52,807.84,802.08,807.84,813.6,809.28,810.72,817.92,809.28,804.96,807.84,807.84,802.08,793.44,793.44,799.2,802.08,792,790.56,770.4,758.88,763.2,767.52,768.96,761.76,767.52,760.32,754.56,753.12,748.8,753.12,753.12,750.24,753.12,764.64,764.64,756,754.56,758.88
08-Jan-2018,77287.68,756,758.88,757.44,761.76,756,753.12,747.36,756,754.56,750.24,745.92,751.68,743.04,743.04,734.4,743.04,741.6,743.04,738.72,753.12,757.44,754.56,750.24,756,760.32,764.64,758.88,758.88,780.48,793.44,807.84,826.56,836.64,832.32,843.84,856.8,930.24,907.2,912.96,897.12,891.36,905.76,911.52,931.68,930.24,941.76,947.52,953.28,951.84,953.28,944.64,900,843.84,859.68,836.64,830.88,846.72,842.4,845.28,838.08,838.08,842.4,836.64,842.4,839.52,832.32,843.84,838.08,836.64,835.2,826.56,822.24,786.24,781.92,780.48,777.6,773.28,757.44,757.44,757.44,747.36,745.92,741.6,745.92,743.04,745.92,744.48,738.72,741.6,741.6,747.36,753.12,747.36,743.04,740.16,732.96
09-Jan-2018,74789.28,734.4,731.52,731.52,730.08,725.76,730.08,725.76,732.96,728.64,731.52,721.44,718.56,722.88,715.68,715.68,715.68,720,720,711.36,712.8,714.24,721.44,724.32,721.44,750.24,750.24,747.36,751.68,776.16,797.76,794.88,793.44,797.76,800.64,796.32,806.4,819.36,826.56,823.68,828,830.88,839.52,825.12,826.56,819.36,820.8,823.68,823.68,826.56,822.24,823.68,822.24,823.68,822.24,817.92,819.36,825.12,816.48,815.04,819.36,820.8,817.92,832.32,830.88,806.4,845.28,840.96,823.68,846.72,851.04,849.6,835.2,796.32,789.12,792,793.44,784.8,770.4,771.84,768.96,764.64,761.76,761.76,758.88,756,753.12,751.68,747.36,748.8,743.04,744.48,751.68,745.92,754.56,750.24,745.92
10-Jan-2018,72751.68,744.48,743.04,741.6,745.92,745.92,748.8,743.04,734.4,734.4,737.28,732.96,734.4,730.08,731.52,738.72,751.68,741.6,738.72,737.28,741.6,738.72,747.36,756,753.12,754.56,757.44,761.76,780.48,794.88,792,662.4,701.28,758.88,767.52,761.76,789.12,781.92,783.36,789.12,796.32,806.4,804.96,807.84,803.52,800.64,799.2,800.64,806.4,800.64,796.32,796.32,800.64,797.76,797.76,803.52,800.64,803.52,800.64,800.64,790.56,783.36,787.68,787.68,786.24,794.88,786.24,793.44,789.12,793.44,787.68,783.36,767.52,751.68,745.92,747.36,748.8,738.72,732.96,725.76,724.32,721.44,717.12,714.24,711.36,708.48,709.92,705.6,711.36,711.36,711.36,711.36,705.6,702.72,708.48,701.28,699.84
