,Date,period,demand,year,month,day,timestamp
0,2018-01-01,0,734.4,2018,1,1,2018-01-01 00:00:00
1,2018-01-01,15,731.52,2018,1,1,2018-01-01 00:15:00
2,2018-01-01,30,727.2,2018,1,1,2018-01-01 00:30:00
3,2018-01-01,45,735.84,2018,1,1,2018-01-01 00:45:00
4,2018-01-01,60,730.08,2018,1,1,2018-01-01 01:00:00
5,2018-01-01,75,728.64,2018,1,1,2018-01-01 01:15:00
6,2018-01-01,90,731.52,2018,1,1,2018-01-01 01:30:00
7,2018-01-01,105,730.08,2018,1,1,2018-01-01 01:45:00
8,2018-01-01,120,730.08,2018,1,1,2018-01-01 02:00:00
9,2018-01-01,135,732.96,2018,1,1,2018-01-01 02:15:00
10,2018-01-01,150,724.32,2018,1,1,2018-01-01 02:30:00
11,2018-01-01,165,732.96,2018,1,1,2018-01-01 02:45:00
12,2018-01-01,180,731.52,2018,1,1,2018-01-01 03:00:00
13,2018-01-01,195,730.08,2018,1,1,2018-01-01 03:15:00
14,2018-01-01,210,734.4,2018,1,1,2018-01-01 03:30:00
15,2018-01-01,225,734.4,2018,1,1,2018-01-01 03:45:00
16,2018-01-01,240,731.52,2018,1,1,2018-01-01 04:00:00
17,2018-01-01,255,734.4,2018,1,1,2018-01-01 04:15:00
18,2018-01-01,270,730.08,2018,1,1,2018-01-01 04:30:00
19,2018-01-01,285,732.96,2018,1,1,2018-01-01 04:45:00
20,2018-01-01,300,743.04,2018,1,1,2018-01-01 05:00:00
21,2018-01-01,315,735.84,2018,1,1,2018-01-01 05:15:00
22,2018-01-01,330,735.84,2018,1,1,2018-01-01 05:30:00
23,2018-01-01,345,745.92,2018,1,1,2018-01-01 05:45:00
24,2018-01-01,360,738.72,2018,1,1,2018-01-01 06:00:00
25,2018-01-01,375,747.36,2018,1,1,2018-01-01 06:15:00
26,2018-01-01,390,750.24,2018,1,1,2018-01-01 06:30:00
27,2018-01-01,405,747.36,2018,1,1,2018-01-01 06:45:00
28,2018-01-01,420,767.52,2018,1,1,2018-01-01 07:00:00
29,2018-01-01,435,771.84,2018,1,1,2018-01-01 07:15:00
30,2018-01-01,450,763.2,2018,1,1,2018-01-01 07:30:00
31,2018-01-01,465,771.84,2018,1,1,2018-01-01 07:45:00
32,2018-01-01,480,768.96,2018,1,1,2018-01-01 08:00:00
33,2018-01-01,495,768.96,2018,1,1,2018-01-01 08:15:00
34,2018-01-01,510,770.4,2018,1,1,2018-01-01 08:30:00
35,2018-01-01,525,770.4,2018,1,1,2018-01-01 08:45:00
36,2018-01-01,540,770.4,2018,1,1,2018-01-01 09:00:00
37,2018-01-01,555,773.28,2018,1,1,2018-01-01 09:15:00
38,2018-01-01,570,768.96,2018,1,1,2018-01-01 09:30:00
39,2018-01-01,585,784.8,2018,1,1,2018-01-01 09:45:00
40,2018-01-01,600,787.68,2018,1,1,2018-01-01 10:00:00
41,2018-01-01,615,787.68,2018,1,1,2018-01-01 10:15:00
42,2018-01-01,630,790.56,2018,1,1,2018-01-01 10:30:00
43,2018-01-01,645,793.44,2018,1,1,2018-01-01 10:45:00
44,2018-01-01,660,787.68,2018,1,1,2018-01-01 11:00:00
45,2018-01-01,675,794.88,2018,1,1,2018-01-01 11:15:00
46,2018-01-01,690,794.88,2018,1,1,2018-01-01 11:30:00
47,2018-01-01,705,787.68,2018,1,1,2018-01-01 11:45:00
48,2018-01-01,720,792.0,2018,1,1,2018-01-01 12:00:00
49,2018-01-01,735,789.12,2018,1,1,2018-01-01 12:15:00
50,2018-01-01,750,781.92,2018,1,1,2018-01-01 12:30:00
51,2018-01-01,765,794.88,2018,1,1,2018-01-01 12:45:00
52,2018-01-01,780,789.12,2018,1,1,2018-01-01 13:00:00
53,2018-01-01,795,784.8,2018,1,1,2018-01-01 13:15:00
54,2018-01-01,810,793.44,2018,1,1,2018-01-01 13:30:00
55,2018-01-01,825,784.8,2018,1,1,2018-01-01 13:45:00
56,2018-01-01,840,784.8,2018,1,1,2018-01-01 14:00:00
57,2018-01-01,855,780.48,2018,1,1,2018-01-01 14:15:00
58,2018-01-01,870,779.04,2018,1,1,2018-01-01 14:30:00
59,2018-01-01,885,774.72,2018,1,1,2018-01-01 14:45:00
60,2018-01-01,900,773.28,2018,1,1,2018-01-01 15:00:00
61,2018-01-01,915,777.6,2018,1,1,2018-01-01 15:15:00
62,2018-01-01,930,777.6,2018,1,1,2018-01-01 15:30:00
63,2018-01-01,945,771.84,2018,1,1,2018-01-01 15:45:00
64,2018-01-01,960,771.84,2018,1,1,2018-01-01 16:00:00
65,2018-01-01,975,774.72,2018,1,1,2018-01-01 16:15:00
66,2018-01-01,990,781.92,2018,1,1,2018-01-01 16:30:00
67,2018-01-01,1005,781.92,2018,1,1,2018-01-01 16:45:00
68,2018-01-01,1020,774.72,2018,1,1,2018-01-01 17:00:00
69,2018-01-01,1035,768.96,2018,1,1,2018-01-01 17:15:00
70,2018-01-01,1050,771.84,2018,1,1,2018-01-01 17:30:00
71,2018-01-01,1065,770.4,2018,1,1,2018-01-01 17:45:00
72,2018-01-01,1080,773.28,2018,1,1,2018-01-01 18:00:00
73,2018-01-01,1095,768.96,2018,1,1,2018-01-01 18:15:00
74,2018-01-01,1110,779.04,2018,1,1,2018-01-01 18:30:00
75,2018-01-01,1125,773.28,2018,1,1,2018-01-01 18:45:00
76,2018-01-01,1140,758.88,2018,1,1,2018-01-01 19:00:00
77,2018-01-01,1155,747.36,2018,1,1,2018-01-01 19:15:00
