"","x"
"1",737.208666912252
"2",728.947894539142
"3",728.168022418685
"4",725.044722697113
"5",738.304206180041
"6",737.656410506464
"7",736.673072672397
"8",712.017939598749
"9",741.608995409044
"10",727.536841345087
"11",730.495858450755
"12",723.950250333535
"13",737.426693356562
"14",734.943614468753
"15",731.208109916677
"16",736.493460164427
"17",735.053609983431
"18",731.377902961966
"19",737.529206679791
"20",726.494280398247
"21",733.383035575373
"22",744.730832950423
"23",737.622399332003
"24",733.722634224977
"25",742.937213172183
"26",734.173458843603
"27",751.530364677644
"28",754.248390603832
"29",753.914949994476
"30",770.958825618437
"31",771.804053445255
"32",765.939663733279
"33",772.820414463536
"34",767.672890996005
"35",767.161719362452
"36",772.093602927122
"37",771.351583214589
"38",769.52725166881
"39",772.473876957285
"40",772.559583690304
"41",789.096951673048
"42",791.786600018052
"43",787.540676977931
"44",790.292946845136
"45",787.9307198611
"46",791.370791619065
"47",798.944305067318
"48",787.609382673607
"49",781.599432922893
"50",794.18037325556
"51",788.71362491177
"52",784.213738487621
"53",792.623790633541
"54",787.269398503586
"55",784.445192736957
"56",791.790494312416
"57",786.167093952855
"58",785.117210407299
"59",780.641169715055
"60",773.948681082357
"61",778.172905407458
"62",773.868994312613
"63",776.04463885233
"64",780.090729725176
"65",768.415968004465
"66",773.197629477609
"67",774.847583217934
"68",783.398230552319
"69",777.042597633083
"70",769.44698078766
"71",770.45878123954
"72",772.753778526913
"73",774.487159383983
"74",770.382841115344
"75",769.941299245055
"76",777.246637230865
"77",772.418730326402
"78",757.43849495468
"79",743.754386729377
"80",745.039401800847
"81",736.799893775472
"82",741.847739286906
"83",732.154667374903
"84",735.873753291913
"85",734.999950619195
"86",729.526974327414
"87",728.194369385166
"88",739.923827692732
"89",740.607309106619
"90",732.550500166848
"91",736.859184051685
"92",735.181170483049
"93",728.429229578067
"94",725.058285972968
"95",730.678170925897
"96",725.176468129572
"97",723.979816740385
"98",732.802616326135
"99",727.956121291974
"100",731.52123128128
"101",729.785003509108
"102",735.40620600684
"103",737.110397939671
"104",734.029139453139
"105",739.076899330679
"106",736.930946807559
"107",730.749739856613
"108",732.894767195962
"109",728.650889662768
"110",722.317228214134
"111",724.571314004542
"112",731.346700745317
"113",729.900296010932
"114",727.702780607514
"115",723.474874845934
"116",724.301509826662
"117",722.323896802002
"118",732.218500802372
"119",734.516663125468
"120",731.405329122795
"121",747.566704257577
"122",771.421780789138
"123",766.116609734294
"124",768.834634113243
"125",775.899641774795
"126",778.5083270165
"127",779.134900364872
"128",778.652669227729
"129",782.783644846672
"130",780.542003603036
"131",780.475788770818
"132",784.954293502038
"133",783.713082826146
"134",783.238824216213
"135",792.021814442803
"136",796.878362453023
"137",790.688022139826
"138",797.462835071685
"139",796.109627514484
"140",792.280620528556
"141",792.292687003591
