,month,demand,max_peak_battery,charge,discharge,max_peak_baseline,operating_cost_battery,operating_cost_baseline,cost_saved
0,1.0,2097953.2800000003,1627.7333333088243,39068.469398472946,58150.67256034,1856.1599999999971,329405.06932139996,340186.78079999995,10781.711478599987
0,2.0,1914353.28,1539.7894174461399,37199.15567631502,54634.903722315925,1709.2799999999972,302555.2265840126,310981.16159999993,8425.935015987314
0,3.0,2160324.0,1630.6933323105045,39714.219493711804,59769.63722223652,1835.9999999999973,337494.3113914556,347562.35999999987,10068.048608544283
0,4.0,2160324.0,1779.4933331679574,44902.21593366254,61010.94737565167,2008.7999999999972,343414.772639865,353841.9119999999,10427.139360134897
0,5.0,2355035.04,1943.1296841796034,44154.22582698544,61947.4762248911,2112.479999999997,374454.76537135907,382922.0783999999,8467.313028640812
0,6.0,2571861.6,2147.173331475378,41042.47671621743,59122.92713975896,2384.639999999997,522016.3892805106,545382.6479999998,23366.25871948921
0,7.0,3025729.44,2472.7753844876725,45029.75817753136,62381.53989056287,2698.56,609929.717104465,632167.3872,22237.670095534995
0,8.0,2822081.7600000002,2275.5105880791493,44115.93987168108,61930.68746079354,2596.3199999999983,565937.3986584201,596644.9487999999,30707.55014157982
0,9.0,2504574.7199999997,2077.8899997150234,46271.33606680097,61688.75736244403,2295.359999999998,507483.713806346,528734.0735999998,21250.35979365377
0,10.0,2382811.2,2190.821052604278,44578.31348249048,62154.98791451611,2370.24,387094.9253754762,395899.9776000001,8805.052224523912
0,11.0,2296152.0,1764.4079996966316,37781.609455585,57519.555609803436,1956.9599999999978,360052.41370892717,369615.68639999995,9563.27269107278
0,12.0,2536403.04,1854.4119811902267,36828.52931471889,58350.54022428999,2141.279999999998,394323.8651782086,407546.51039999997,13222.645221791347
